text,label
The notes are inaccurate and misleading,negative
Quiz is broken and confusing,negative
The voice sounds creepy not helpful,negative
The summary was meaningless,negative
Notes are below acceptable quality,negative
Terrible user experience,negative
The app froze on upload,negative
Voice summary was useless I could not understand it,negative
The notes feel auto generated and bad,negative
Worst AI tool I have tried,negative
The quiz is a joke,negative
The output makes no sense at all,negative
The notes are full of factual mistakes,negative
This is not worth using even for free,negative
Notes were complete garbage,negative
The summary was inaccurate and misleading,negative
Voice quality is the worst I have heard,negative
The processing failed without any error message,negative
Frustrated with how bad this output is,negative
Quiz questions are unrelated and confusing,negative
The notes did not match the lecture at all,negative
This app does not work as advertised,negative
The audio summary is unbearable,negative
Notes were poorly written and shallow,negative
The interface is broken on mobile,negative
Output is consistently low quality,negative
Quiz feature is buggy and incorrect,negative
Notes have repeated lines everywhere,negative
The voice is annoying to listen to,negative
The output crashed my browser,negative
Notes were inaccurate and unhelpful,negative
This is the worst study app on the internet,negative
Voice summary failed to generate,negative
The notes are misleading and shallow,negative
Terrible quality not worth it,negative
The MCQs felt randomly generated,negative
The output had no useful information,negative
Notes were not relevant to the topic,negative
Quiz was completely useless,negative
The summary made no sense at all,negative
The app keeps failing on me,negative
Voice quality is intolerable,negative
The notes structure is broken,negative
Notes felt like nonsense fragments,negative
This is unprofessional output,negative
The quiz did not test the right concepts,negative
Voice summary was too long and unhelpful,negative
The notes had embarrassing errors,negative
Output is incomprehensible,negative
The audio cut out randomly,negative
I cannot recommend this to anyone,negative
The notes failed to capture the lecture,negative
Quiz answers contradicted the notes,negative
Voice summary sounds like a broken machine,negative
The output is plagued with errors,negative
The notes are not helpful for exams,negative
This app is half finished and unusable,negative
Worst note generator I have ever used,negative
Notes were laughably bad,negative
The processing pipeline is unstable,negative
Quiz feature does not function correctly,negative
The output is full of hallucinations,negative
Frustrating buggy and inaccurate tool,negative
The notes are useless garbage,negative
I want my time back this is bad,negative
The audio summary is a disaster,negative
Notes are missing every key insight,negative
The quiz is plain wrong,negative
This app needs major fixes urgently,negative
The notes are incredibly thorough and well structured I cannot believe an AI made this,positive
Quiz questions actually made me think and reinforced the concepts,positive
Voice narration is so clear and confident it feels like a real lecturer,positive
This tool boosted my exam preparation significantly,positive
I shared this with my entire class and everyone is hooked,positive
The notes feel hand crafted by a top professor,positive
Brilliantly designed every feature works as intended,positive
The summary nailed every important point from my two hour lecture,positive
I am amazed at how accurate the transcription was,positive
The output exceeded everything I was hoping for,positive
Top tier app I am genuinely impressed,positive
The interface is so smooth and the colors are beautiful,positive
Notes are perfectly formatted for my study guide,positive
The MCQs are clever and test deep understanding,positive
This product is going to change how students prepare,positive
Absolute lifesaver during the exam crunch,positive
The voice summary kept me engaged throughout my morning run,positive
I love that the notes have headings examples and key points,positive
This was way better than the free apps I tried before,positive
Stellar work the export to PDF is super clean,positive
The notes saved me at least four hours of manual note taking,positive
Quiz feedback explanations are the best part honestly,positive
The processing was lightning quick on my laptop,positive
This is the only study tool I will ever need,positive
The AI nailed the nuance of my professors lecture,positive
Voice quality could pass for a professional podcast narrator,positive
I am so impressed by the depth of these notes,positive
Five star experience from start to finish,positive
The notes captured every example and analogy perfectly,positive
This app is genuinely a productivity multiplier for students,positive
The summary was concise yet comprehensive and very useful,positive
Quiz difficulty was just right and questions felt thoughtful,positive
The voice narration helped me memorize key facts effortlessly,positive
A truly polished and student friendly product overall,positive
The notes structure helped me revise the night before exam,positive
Outstanding execution the team deserves serious recognition,positive
Saved hours of work and the quality is top notch,positive
The notes were detailed enough to teach a beginner,positive
Quiz feature gamified my revision in the best way,positive
The audio summary was a perfect commute companion,positive
The export feature works flawlessly for sharing notes,positive
The notes look like something from a premium textbook,positive
This is hands down the best lecture assistant ever,positive
The notes are accurate insightful and beautifully organized,positive
Voice summaries are an absolute game changer for me,positive
The quiz helped me catch concepts I had completely missed,positive
The notes nail the balance between depth and brevity,positive
This tool deserves to win a startup competition honestly,positive
The processing pipeline feels really robust nothing broke,positive
The notes have great flow and read like a study guide,positive
I am genuinely excited to use this every week of the semester,positive
The summary delivered the lecture essence in two minutes,positive
The output quality consistently impresses me,positive
Easily the most useful tool for engineering students this year,positive
The notes captured complex derivations correctly which surprised me,positive
The voice tone is calm and easy to focus on,positive
The quiz made me realize how much I actually understood,positive
The notes felt tailored exactly to my professors style,positive
This is an absolute must have for last minute revision,positive
The interface is intuitive enough that my grandmother could use it,positive
Beautiful interface clean output and instant value,positive
The notes are simply outstanding work,positive
This single tool replaced three apps I used to juggle,positive
The notes structure with bullet points is incredibly effective,positive
Quiz questions are well calibrated and not trivial,positive
Voice summary works perfectly in the background while I cook,positive
This app turned my messy lecture into a clean study sheet,positive
The output is reliable consistent and accurate every single time,positive
Notes work runs okay overall but I still had to add some context manually,neutral
Quiz feature is reasonable for a quick check but lacks depth,neutral
Voice summary is acceptable nothing to write home about,neutral
The notes are okay for an overview but not for deep study,neutral
Decent for a free product but room to grow,neutral
Notes are fine but could include more practical examples,neutral
The interface is plain and the output is just standard,neutral
It worked for my short lecture but skipped a few key details,neutral
The summary covered the basics but did not capture nuance,neutral
Notes are usable but feel a bit dry to read,neutral
The voice is clear enough but lacks inflection,neutral
Average tool that gets the job done without much polish,neutral
The notes feel a little generic for technical lectures,neutral
Quiz length is short and the questions are predictable,neutral
The summary captures the main idea but misses subtopics,neutral
Notes lack depth on harder concepts but cover basics fine,neutral
The audio takes a while to load but plays fine after,neutral
It is alright for revising lectures you already understand,neutral
Notes generation is decent maybe needs more variety in examples,neutral
The output is acceptable but I had to verify against the lecture,neutral
Works for English videos but I am not sure about other languages,neutral
The notes have headings which helps but the content is shallow,neutral
The voice summary is fine for short lectures less useful for long ones,neutral
The processing is okay but slower than I expected,neutral
The quiz feature has potential but needs more challenging questions,neutral
Notes are good for a starting point but not enough on their own,neutral
The audio quality is fine but the pacing feels rushed,neutral
The output is okay for a quick review but not exam ready,neutral
Decent attempt at summarizing technical content,neutral
The notes touch every section but go deep on none,neutral
Quiz answers are correct mostly but a couple felt off,neutral
Voice summary is fine but I would prefer a different voice option,neutral
Acceptable for casual learning not ideal for serious study,neutral
The notes are alright though I wish they were longer,neutral
The interface works but feels a bit dated,neutral
The summary did its job but felt mechanical,neutral
Notes captured the gist but skipped the worked examples,neutral
The audio is okay though it occasionally mispronounces names,neutral
Quiz is decent for self testing but lacks variety in question types,neutral
Performance is acceptable for everyday use,neutral
The output is fine but I have seen better elsewhere,neutral
Notes are mid quality usable for a fast skim,neutral
The voice summary plays fine but feels too long for me,neutral
The notes are okay though they sometimes feel repetitive,neutral
Works as expected for the price which is nothing,neutral
The summary is plain but accurate enough,neutral
The quiz has good intentions but execution is just average,neutral
The notes cover the main points without going deeper,neutral
It is fine for quick prep nothing groundbreaking though,neutral
Audio summary feels okay but it is not something I will reuse,neutral
The notes are alright the structure helps a little,neutral
This tool is fine for revising lectures I already attended,neutral
The summary is acceptable not particularly memorable,neutral
The quiz is balanced but could push harder on tricky concepts,neutral
Notes are usable for skimming but not for thorough study,neutral
The voice is alright though I sometimes zone out,neutral
The output is okay but a bit shallow for graduate level content,neutral
Notes are average and need some manual cleanup,neutral
The quiz is okay for a refresher,neutral
The audio summary is decent at best,neutral
The interface gets the job done with no flair,neutral
The notes are sometimes great sometimes mediocre depends on the lecture,neutral
Quiz is okay though some questions feel duplicated,neutral
Voice summary is fine but I would still prefer reading,neutral
The output is acceptable but I would not pay for this,neutral
Notes structure is sensible the depth could be improved,neutral
The summary feels rushed but it covers the highlights,neutral
The tool is fine for basic notes nothing special,neutral
The processing time is okay nothing impressive,neutral
The notes mostly work though sometimes they miss the lecture topic entirely,neutral
The notes were full of factual errors and made my revision harder,negative
Voice summary kept stuttering and was painful to listen to,negative
Quiz questions had wrong answers marked as correct which is embarrassing,negative
The output ignored half my lecture content,negative
This tool failed to process my video and gave a cryptic error,negative
Notes felt machine generated in the worst possible way,negative
The audio summary was unintelligible and useless,negative
Quiz feature crashed mid attempt and lost my progress,negative
The notes had nothing to do with my actual lecture,negative
Voice quality is harsh robotic and unpleasant,negative
The transcription was full of nonsense words and gibberish,negative
This app is buggy unreliable and frustrating to use,negative
The notes structure was nonexistent just walls of text,negative
The processing took an hour and still failed at the end,negative
The summary missed the entire main argument of the lecture,negative
Quiz questions were poorly worded and felt random,negative
The voice cut off mid sentence multiple times,negative
The notes were so shallow they were useless for revision,negative
This is the worst study assistant I have ever encountered,negative
The output looks unprofessional and full of errors,negative
The notes contained outright wrong information that confused me,negative
Voice summary is robotic to the point of being unusable,negative
Quiz had typos in every other question,negative
The notes failed to identify the lecture topic correctly,negative
This tool wasted my whole evening before exam,negative
The processing froze and I had to restart everything,negative
The summary was too generic to be useful for anyone,negative
The MCQs were factually wrong half the time,negative
The voice was so monotonous I fell asleep,negative
The notes were a complete mess no structure no value,negative
The output crashed my browser tab twice in a row,negative
Quiz feature is so broken I could not even submit answers,negative
The transcription completely misheard technical terms,negative
The notes had repeated sentences pasted multiple times,negative
This is amateurish work not ready for users,negative
The summary contradicted itself in different sections,negative
Voice summary failed to download even after retrying,negative
The notes are full of hallucinations and made up content,negative
Quiz was unusable due to backend errors throughout,negative
The output looks like it was generated by a broken bot,negative
The audio was distorted and impossible to follow,negative
The notes butchered the lecture beyond recognition,negative
This app is consistently disappointing across every feature,negative
The summary delivered absolutely none of the lecture value,negative
Quiz answers contradicted the notes which is unacceptable,negative
The voice sounds like a broken text to speech from the 90s,negative
The notes were filled with grammatical errors throughout,negative
The processing pipeline failed on a perfectly normal video,negative
The output gave me zero useful information whatsoever,negative
Quiz feature is unprofessional and full of bugs,negative
The audio summary is genuinely unpleasant to listen to,negative
The notes contain factual errors that would tank my grade,negative
This tool is unreliable and I cannot recommend it to anyone,negative
The summary missed the lecture entirely and rambled,negative
Quiz did not align with the notes which is confusing,negative
The voice keeps mispronouncing technical terms badly,negative
The output structure is broken and barely readable,negative
This tool needs a complete rewrite before it is usable,negative
The notes were so bad I had to redo everything by hand,negative
Quiz crashed three times and lost all my progress,negative
The voice summary cuts out at random making it useless,negative
The notes did not even mention the main theorem,negative
This app feels half finished and is full of broken features,negative
The output quality is consistently worse than free alternatives,negative
Voice summary is so robotic it might damage my ears,negative
Quiz is wildly inaccurate and untrustworthy,negative
The notes were a confusing mess of fragments and nonsense,negative
The processing crashed without any helpful error message,negative
The summary completely missed the experimental section,negative
The MCQ explanations were wrong almost every time,negative
The notes are a disaster I would not show anyone,negative
This app made my revision worse not better,negative
The output is consistently unreliable across multiple videos,negative
Voice summary fails silently with no indication why,negative
The notes have so many errors they are net negative,negative
Quiz feature is completely useless in its current state,negative
The voice sounds painful like a broken speaker,negative
The notes felt rushed shallow and inaccurate,negative
This tool needs to be pulled until it actually works,negative
The summary is so generic it could be any random lecture,negative
The output gave me wrong dates wrong names wrong everything,negative
The notes were everything that is wrong with AI tools today,negative
Quiz feature crashed within seconds of opening,negative
The voice is unbearable and I had to mute it,negative
The pipeline fails too often to be considered reliable,negative
The notes are flat out wrong on the core concepts,negative
This is the most disappointing study tool I have ever tried,negative
